STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,´¿´¼°»,1991,0.312,89,362,317,44,43,99,73,20,2,4,135,26,31,2,7,50,3,5,2,15,7,0.384,0.426,0.81,1.869,0.76
°h§Ð,®]¬L¥ß,1991,0.271,89,349,321,47,29,87,66,19,0,2,112,21,20,0,4,47,3,3,1,17,14,0.321,0.349,0.67,1.099,0.51
°h§Ð,³¯ª÷­Z,1991,0.269,88,371,338,54,55,91,66,14,0,11,138,25,24,1,2,43,4,1,6,8,2,0.316,0.408,0.724,0.715,0.6
°h§Ð,ªL©ö¼W,1991,0.292,87,379,343,70,30,100,81,16,1,2,124,19,25,2,5,20,3,5,1,31,18,0.348,0.362,0.71,0.832,1.5
°h§Ð,§E´I¸Û,1991,0.202,87,223,193,19,15,39,29,7,1,2,54,10,12,0,0,55,2,18,0,3,3,0.249,0.28,0.529,1.6,0.22
°h§Ð,§f¤å¥Í,1991,0.2,87,297,240,29,22,48,42,4,2,0,56,6,31,0,1,30,2,24,1,3,3,0.293,0.233,0.526,2.169,1.07
°h§Ð,§d´_³s,1991,0.253,86,339,293,34,27,74,60,13,1,0,89,14,33,0,1,39,8,10,2,8,4,0.328,0.304,0.632,2,0.87
°h§Ð,¶ÀÞ£¶©,1991,0.248,86,338,318,37,35,79,54,19,1,5,115,25,8,0,0,47,5,10,2,7,9,0.265,0.362,0.627,0.962,0.17
°h§Ð,¦NÀ±,1991,0.305,85,361,331,50,59,101,75,14,0,12,151,26,25,1,3,33,14,0,2,4,2,0.357,0.456,0.813,1.369,0.85
°h§Ð,¦ã«k,1991,0.3,85,344,290,41,44,87,55,17,2,13,147,32,47,5,5,49,9,0,2,0,2,0.404,0.507,0.911,0.696,1.06
°h§Ð,«k®Ô,1991,0.267,85,337,315,35,25,84,63,11,5,5,120,21,16,0,0,27,8,5,1,10,11,0.301,0.381,0.682,1.658,0.59
°h§Ð,³¢«ØÀM,1991,0.272,84,352,301,40,29,82,67,14,0,1,99,15,29,0,5,33,4,14,3,7,4,0.343,0.329,0.672,1.446,1.03
°h§Ð,½²¥ÍÂ×,1991,0.232,84,306,263,40,19,61,46,10,1,4,85,15,36,0,1,47,2,5,1,8,4,0.326,0.323,0.649,1.981,0.79
°h§Ð,§ººa®õ,1991,0.22,84,280,245,23,27,54,43,9,0,2,69,11,27,1,4,31,9,2,2,2,2,0.306,0.282,0.588,1.05,1
°h§Ð,§d«T¹F,1991,0.219,83,317,279,30,14,61,44,13,4,0,82,17,16,0,1,30,5,18,3,10,4,0.261,0.294,0.555,1.459,0.57
°h§Ð,Ã¹¥@©¯,1991,0.307,81,320,274,43,54,84,56,18,0,10,132,28,38,1,5,55,0,1,2,6,5,0.398,0.482,0.88,1.156,0.78
°h§Ð,Ã¹±Ó­ë,1991,0.275,81,233,204,22,26,56,38,14,1,3,81,18,24,0,1,38,5,2,2,0,1,0.351,0.397,0.748,1.192,0.66
°h§Ð,°¨´µ,1991,0.248,81,301,262,38,46,65,41,11,1,12,114,24,35,3,3,76,9,0,1,2,1,0.342,0.435,0.777,0.968,0.5
°h§Ð,«Òªi,1991,0.318,80,295,264,40,37,84,57,18,1,8,128,27,30,6,1,32,5,0,0,16,8,0.39,0.485,0.875,1.467,0.97
°h§Ð,ªL¦Ê¦ë,1991,0.248,80,282,258,17,27,64,49,11,0,4,87,15,12,1,0,34,7,10,2,0,2,0.279,0.337,0.616,1.774,0.35
°h§Ð,«J©ú©[,1991,0.199,80,252,236,15,16,47,37,8,2,0,59,10,12,1,0,47,2,4,0,2,6,0.238,0.25,0.488,1.655,0.26
